office_location,distance (m),duration driving (mins),duration driving rush hours (mins),duration transports (mins)
Edificio J,4245,8.266666666666667,8.266666666666667,18.533333333333335
Edificio J,19586,21.3,21.3,66.4
Edificio J,71030,51.3,51.3,0.0
Edificio J,8721,20.883333333333333,21.0,51.38333333333333
Edificio J,12782,21.383333333333333,21.383333333333333,49.21666666666667
Edificio J,10393,13.016666666666667,13.016666666666667,0.0
Edificio J,37230,43.63333333333333,43.63333333333333,132.08333333333334
Edificio J,17243,19.883333333333333,19.883333333333333,67.43333333333334
Edificio J,4022,10.066666666666666,10.066666666666666,27.816666666666666
Edificio J,18430,22.633333333333333,22.633333333333333,69.58333333333333
Edificio J,4956,11.966666666666667,11.966666666666667,39.333333333333336
Edificio J,8904,17.4,17.4,52.78333333333333
Edificio J,15452,20.75,20.75,69.91666666666667
Edificio J,10743,17.8,17.8,34.45
Edificio J,15717,19.416666666666668,19.416666666666668,80.6
Edificio J,4022,10.066666666666666,10.066666666666666,27.816666666666666
Edifício 22,4914,10.35,10.35,27.383333333333333
Edifício 22,20255,23.4,23.4,73.31666666666666
Edifício 22,71699,53.4,53.4,0.0
Edifício 22,9390,22.983333333333334,23.1,53.45
Edifício 22,13451,23.483333333333334,23.483333333333334,59.3
Edifício 22,8740,14.266666666666667,14.266666666666667,0.0
Edifício 22,37899,45.71666666666667,45.71666666666667,146.88333333333333
Edifício 22,17912,21.983333333333334,21.983333333333334,79.28333333333333
Edifício 22,4720,12.266666666666667,12.266666666666667,29.65
Edifício 22,19099,24.716666666666665,24.716666666666665,76.5
Edifício 22,5654,14.15,14.15,47.4
Edifício 22,9573,19.5,19.5,45.4
Edifício 22,16121,22.85,22.85,83.0
Edifício 22,11412,19.9,19.9,40.61666666666667
Edifício 22,16386,21.5,21.5,98.76666666666667
Edifício 22,4720,12.266666666666667,12.266666666666667,29.65
Parque das nacoes,10276,14.866666666666667,14.866666666666667,29.466666666666665
Parque das nacoes,13855,18.166666666666668,18.166666666666668,28.9
Parque das nacoes,66731,49.333333333333336,49.333333333333336,0.0
Parque das nacoes,6685,15.683333333333334,15.683333333333334,34.78333333333333
Parque das nacoes,7247,16.033333333333335,16.033333333333335,29.15
Parque das nacoes,10647,14.35,14.35,0.0
Parque das nacoes,47041,43.666666666666664,43.416666666666664,131.08333333333334
Parque das nacoes,23275,26.483333333333334,26.483333333333334,55.86666666666667
Parque das nacoes,11399,19.266666666666666,19.266666666666666,43.86666666666667
Parque das nacoes,23609,29.766666666666666,29.766666666666666,68.58333333333333
Parque das nacoes,18034,21.233333333333334,21.233333333333334,60.11666666666667
Parque das nacoes,6158,12.183333333333334,12.183333333333334,32.63333333333333
Parque das nacoes,20632,27.9,27.9,75.35
Parque das nacoes,9573,21.75,21.75,34.96666666666667
Parque das nacoes,20897,26.566666666666666,26.566666666666666,81.35
Parque das nacoes,11399,19.266666666666666,19.266666666666666,43.86666666666667
Beato,12542,16.95,16.95,57.833333333333336
Beato,17124,21.683333333333334,21.683333333333334,54.416666666666664
Beato,70000,52.85,52.85,0.0
Beato,5814,12.766666666666667,12.766666666666667,25.816666666666666
Beato,4699,9.85,9.85,33.55
Beato,13916,17.883333333333333,17.883333333333333,0.0
Beato,50310,47.18333333333333,46.93333333333333,0.0
Beato,25540,28.583333333333332,28.583333333333332,75.23333333333333
Beato,13664,21.35,21.35,59.53333333333333
Beato,22794,31.883333333333333,31.883333333333333,76.95
Beato,15006,24.55,24.55,67.55
Beato,4979,9.166666666666666,9.166666666666666,22.466666666666665
Beato,19816,30.016666666666666,30.016666666666666,69.2
Beato,9774,21.516666666666666,21.516666666666666,39.21666666666667
Beato,20081,28.683333333333334,28.65,81.21666666666667
Beato,13664,21.35,21.35,59.53333333333333
Tagus park,17672,17.4,17.4,0.0
Tagus park,38477,33.266666666666666,33.266666666666666,0.0
Tagus park,88967,61.25,61.25,0.0
Tagus park,21315,27.566666666666666,27.566666666666666,0.0
Tagus park,21672,29.816666666666666,29.816666666666666,0.0
Tagus park,27724,25.183333333333334,25.183333333333334,0.0
Tagus park,46871,49.31666666666667,49.31666666666667,0.0
Tagus park,4662,10.716666666666667,10.716666666666667,53.43333333333333
Tagus park,17473,18.316666666666666,18.316666666666666,0.0
Tagus park,28070,28.316666666666666,28.316666666666666,0.0
Tagus park,20326,22.416666666666668,22.416666666666668,0.0
Tagus park,22693,26.966666666666665,26.966666666666665,0.0
Tagus park,25093,26.433333333333334,26.433333333333334,0.0
Tagus park,18999,20.616666666666667,20.616666666666667,0.0
Tagus park,25358,25.1,25.1,0.0
Tagus park,17473,18.316666666666666,18.316666666666666,0.0
Av liberdade,9523,17.216666666666665,17.216666666666665,21.9
Av liberdade,28469,34.81666666666667,35.9,48.05
Av liberdade,79913,64.83333333333333,64.83333333333333,0.0
Av liberdade,3658,15.85,16.983333333333334,24.566666666666666
Av liberdade,4365,15.45,15.45,21.516666666666666
Av liberdade,20103,26.266666666666666,26.266666666666666,0.0
Av liberdade,34758,45.85,45.85,0.0
Av liberdade,20943,26.05,26.05,48.3
Av liberdade,12943,20.8,20.8,37.6
Av liberdade,15958,24.85,24.85,50.016666666666666
Av liberdade,15796,24.9,24.9,42.9
Av liberdade,5646,15.85,15.85,24.683333333333334
Av liberdade,12981,22.966666666666665,22.966666666666665,44.55
Av liberdade,1772,9.7,9.7,9.366666666666667
Av liberdade,13245,21.633333333333333,21.633333333333333,55.233333333333334
Av liberdade,12943,20.8,20.8,37.6
